name,target,equipment,Level,gym,home,goal,bodyPart,type,sets
Partner plank band row,abs,band,Intermediate,1,1,Gain Muscle,waist,duration,5
Banded crunch isometric hold,abs,band,Intermediate,1,1,Gain Muscle,waist,duration,3
FYR Banded Plank Jack,abs,band,Intermediate,1,1,Gain Muscle,waist,duration,5
Banded crunch,abs,band,Intermediate,1,1,Gain Muscle,waist,duration,4
Crunch,abs,band,Intermediate,1,1,Gain Muscle,waist,duration,4
Decline band press sit-up,abs,band,Intermediate,1,1,Gain Muscle,waist,duration,4
FYR2 Banded Frog Pump,abs,band,Intermediate,1,1,Gain Muscle,waist,duration,3
Band low-to-high twist,abs,band,Intermediate,1,1,Gain Muscle,waist,duration,4
Barbell roll-out,abs,barbell,Intermediate,1,0,Gain Muscle,waist,weight,3
Barbell Ab Rollout - On Knees,abs,barbell,Intermediate,1,0,Gain Muscle,waist,weight,4
Decline bar press sit-up,abs,barbell,Intermediate,1,0,Gain Muscle,waist,weight,3
Bench barbell roll-out,abs,barbell,Beginner,1,0,Gain Muscle,waist,weight,4
Barbell Side Bend,abs,barbell,Beginner,1,0,Gain Muscle,waist,weight,3
Seated bar twist,abs,barbell,Intermediate,1,0,Gain Muscle,waist,weight,3
Single-arm landmine pull and press,abs,barbell,Intermediate,1,0,Gain Muscle,waist,weight,5
Barbell Ab Roll Out - Gethin Variation,abs,barbell,Intermediate,1,0,Gain Muscle,waist,weight,3
30 Barbell Floor Wiper,abs,barbell,Intermediate,1,0,Gain Muscle,waist,weight,3
30 Barbell Roll-Out,abs,barbell,Intermediate,1,0,Gain Muscle,waist,weight,3
Decline plate sit-up,abs,barbell,Intermediate,1,0,Gain Muscle,waist,weight,5
KV Barbell Hip Thrust,abs,barbell,Intermediate,1,0,Gain Muscle,waist,weight,4
Advanced Kettlebell Windmill,abs,kettlebell,Beginner,1,0,Gain Muscle,waist,weight,3
Kettlebell Windmill,abs,kettlebell,Intermediate,1,0,Gain Muscle,waist,weight,4
Kettlebell Pass Between The Legs,abs,kettlebell,Beginner,1,0,Gain Muscle,waist,weight,5
Kettlebell 3-point leg extension,abs,kettlebell,Intermediate,1,0,Gain Muscle,waist,weight,3
Double Kettlebell Swing,abs,kettlebell,Intermediate,1,0,Gain Muscle,waist,weight,4
Burpee over kettlebell,abs,kettlebell,Intermediate,1,0,Gain Muscle,waist,weight,3
Kettlebell toe-touch,abs,kettlebell,Intermediate,1,0,Gain Muscle,waist,weight,5
Kettlebell swing,abs,kettlebell,Intermediate,1,0,Gain Muscle,waist,weight,3
Two-way swing,abs,kettlebell,Intermediate,1,0,Gain Muscle,waist,weight,4
Kettlebell crab reach,abs,kettlebell,Intermediate,1,0,Gain Muscle,waist,weight,5
Taylor Single-Arm Kettlebell Swing,abs,kettlebell,Intermediate,1,0,Gain Muscle,waist,weight,5
Holman Kettlebell Up to Elbow Down,abs,kettlebell,Intermediate,1,0,Gain Muscle,waist,weight,5
FYR2 Double-Kettlebell Ski,abs,kettlebell,Intermediate,1,0,Gain Muscle,waist,weight,4
FYR2 Kettlebell Hike,abs,kettlebell,Intermediate,1,0,Gain Muscle,waist,weight,5
FYR2 Kettlebell Cross-Body Catch,abs,kettlebell,Intermediate,1,0,Gain Muscle,waist,weight,3
FYR2 Kettlebell Duck Walk,abs,kettlebell,Intermediate,1,0,Gain Muscle,waist,weight,3
FYR2 Kettlebell Get-Up Reach,abs,kettlebell,Intermediate,1,0,Gain Muscle,waist,weight,5
FYR2 Kettlebell Juggle,abs,kettlebell,Intermediate,1,0,Gain Muscle,waist,weight,4
FYR2 Squat-Clean-Alternating-Press Complex,abs,kettlebell,Intermediate,1,0,Gain Muscle,waist,weight,5
Dumbbell V-Sit Cross Jab,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,5
Dumbbell spell caster,abs,dumbbell,Beginner,1,1,Gain Muscle,waist,weight,3
Dumbbell side bend,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,5
Dumbbell crunch,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4
Dumbbell Fix Dumbbell Sprawl,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4
Dumbbell Fix Alternating Renegade Row,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4
Dumbbell Fix Dumbbell Mountain Climber,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,3
Dumbbell Fix Dumbbell Russian Twist,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,3
Dumbbell Fix Dumbbell Pull-Over,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,3
Dumbbell Fix Dumbbell Sit-Up,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4
Dumbbell Fix Dumbbell Front Squat,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4
Dumbbell Fix Full Man Maker,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4
Dumbbell T-hold,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,5
Dumbbell hollow-body floor press,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4
Dumbbell crusher,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,5
Dumbbell Crunch - Gethin Variation,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4
Single-arm dumbbell crunch,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,3
HM Alternating Dumbbell Plank Row,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,3
Dumbbell straight-legged hip raise,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,5
Seated leg tuck with dumbbell,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,5
Dumbbell V-sit cross jab-,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,5
30 Hanging Leg Raise With Dumbbell,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,3
Dumbbell Get-Up Sit-Up,abs,dumbbell,Advanced,1,1,Gain Muscle,waist,weight,4
Holman Right Side Plank with Left Triceps Press,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,5
Holman Left Side Plank with Right Triceps Press,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4
Holman Boat with Feet Push-Out and Overhead Press,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,5
Holman Hovering Plank Row,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,5
Holman Weighted Seated Killer Abs to Russian Twist,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,5
Holman Straight Plank Dumbbell Reach-Under,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4
Holman Straight-Arm Side Plank Overhead Press to Chest Press,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,3
Holman Weighted Burpee to Pike,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,5
Holman Straight-Legged Boat Chest Press,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4
Holman Weighted Burpee to Side Delt Raise,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4
Holman Heavy Double Pike,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4
Holman Heavy Double Split Pike,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,3
MetaBurn Alternating Dumbbell Sit-Through,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4
MetaBurn Alternating Plank Row With Dumbbell Pull-Through,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4
MetaBurn Alternating Plank Row With Push-Up,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,5
MetaBurn Dumbbell Russian Twist,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,3
MetaBurn Dumbbell Toe-Touch,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4
MetaBurn Plank To Alternating Row,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,5
Standing dumbbell knee crunch-,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4
MetaBurn Plank With Dumbbell Rotation,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,5
FYR2 Dumbbell Crab Reach,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,5
FYR2 Dumbbell Man-Maker,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,3
FYR2 Dumbbell Sit-Up Reach,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,5
FYR2 Loaded Beast Sprawl,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4
FYR2 Loaded to Unloaded Beast,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4
Lying Leg Pullover,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,5
Landmine twist,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4
Suspended ab fall-out,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3
Decline reverse crunch,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3
Plate Twist,abs,weighted,Beginner,1,0,Gain Muscle,waist,weight,3
Weighted Crunches,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4
Ab Roller,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3
Otis-Up,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3
Captain's chair knee raise,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4
Sledgehammer swing,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4
Pallof press,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4
Weighted Sit-Ups - With Bands,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3
Suitcase crunch,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4
FYR Rope Jumping,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3
Barbell press sit-up,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4
Single-arm bent-over rear delt fly,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4
Captain's chair leg raise,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4
Shoulder-Elevated One-Leg Hip Thrusts,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3
Ab Twist - Gethin Variation,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5
Weighted Crunch - Gethin Variation,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3
Ab Wheel Roll-Out - Gethin Variation,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4
Bench crunch,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3
Decline plate sit-up twist,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3
Reverse ab roll-out,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4
30 Seated Twist With PVC Pipe,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5
Suspended crunch-,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5
Suspended oblique crunch,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3
Weighted sit-up,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3
30 Decline Press Sit-Up,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4
Holman Towel Reverse Plank Alternating Heel Pull-in,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3
Holman Boat with Weighted Cross Punch,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5
Holman Weighted Hook Punch,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3
Holman Weighted Traveling Punch,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3
Holman Weighted Uppercut Punch,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5
Holman Slow Weighted Double Pike,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4
Holman Plate Straight Plank Reach,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4
Holman Plate Elbow Plank Jack to Straight Plank Jack,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5
Holman Plate Hill Climber,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5
Holman Plate Reverse Plank Hill Climber,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4
Holman Plate Straight Plank Pike to Jack,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3
Holman Plate In-and-Out Push-Up,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4
Holman Plate Burpee,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5
Holman Plate Elbow Plank Reach,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5
Holman Elbow Plank to Renegade Row,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3
Holman Straight Plank Weighted Hand Hill Climber,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4
Holman Weighted Left Side Diagonal Pike,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5
Holman Weighted Right Side Diagonal Pike,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4
Holman Weighted W-Boat to Overhead Press,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5
Holman Weighted Kneeling Lift,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5
Holman Hips-Up Weighted Pull-Over,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5
Holman Weighted Cross Punch,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4
Holman Straight-Leg Boat Hover Chest Press,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4
Holman Weighted Pike,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5
Holman Feet-Elevated Wax-On Wax-Off,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4
Holman Elbow Plank to Towel Pike,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5
Holman Seated Killer Abs Overhead Press,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3
Holman Straight Plank Alternating Weighted Open,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3
Holman Weighted Killer Abs with Overhead Press,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4
Holman Weighted Split-Leg Pike,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3
Holman Towel Reverse Plank Heel Pull-in,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5
Stick Twist,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4
Roc Everest,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5
Standing cable low-to-high twist,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,5
Single-arm high-cable side bend,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,4
Kneeling cable oblique crunch,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,5
Kneeling cable crunch,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,4
Rope Crunch,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,5
Standing cable crunch,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,4
Bosu Ball Cable Crunch With Side Bends,abs,cable,Beginner,1,0,Gain Muscle,waist,weight,3
Standing Cable Wood Chop,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,5
Cable reverse crunch,abs,cable,Beginner,1,0,Gain Muscle,waist,weight,3
Cable Russian Twists,abs,cable,Beginner,1,0,Gain Muscle,waist,weight,3
Pallof press with rotation,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,3
Cable Seated Crunch,abs,cable,Beginner,1,0,Gain Muscle,waist,weight,3
Cable Judo Flip,abs,cable,Beginner,1,0,Gain Muscle,waist,weight,5
Exercise Ball Cable Crunch - Gethin Variation,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,3
Standing cable high-to-low twist,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,4
Bent-Over Reverse Cable Fly,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,3
Standing Cable Crunch - Gethin Variation,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,5
AM Cable Crunch,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,5
Tyler Holt Weighted Knee-To-Chest Crunch,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,4
Standing cable twist,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,3
30 Cable Rope Crunch,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,5
30 Cable Rope Oblique Crunch,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,4
Cable lying twist on ball,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,4
30 Cable Pallof Press,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,4
30 Cable Reverse Crunch On Ball,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,5
30 Cable Reverse Crunch,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,3
Tyler Holt Cable Torso Twist,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,3
Single-Arm Cable Outward-Facing Biceps Curl,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,3
Biceps Rope Curl,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,4
Kneeling Cable Crunches,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,5
Ab Crunch Machine,abs,Machine,Intermediate,1,0,Gain Muscle,waist,weight,5
Smith machine straight-legged hip raise,abs,Machine,Intermediate,1,0,Gain Muscle,waist,weight,5
Machine crunch,abs,Machine,Intermediate,1,0,Gain Muscle,waist,weight,5
AM Ab Machine,abs,Machine,Intermediate,1,0,Gain Muscle,waist,weight,4
Smith machine V-up,abs,Machine,Intermediate,1,0,Gain Muscle,waist,weight,3
Elbow plank,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5
Bottoms Up,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5
Spider crawl,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
Cocoons,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3
Cross-Body Crunch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3
Elbow-to-knee crunch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5
Decline Crunch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3
Hanging toes-to-bar,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5
Hanging Oblique Knee Raise,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5
Gorilla Chin/Crunch,abs,body weight,Beginner,1,1,Gain Muscle,waist,duration,3
Hanging leg raise,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5
Mountain climber,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
Ab bicycle,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
3/4 sit-up,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3
Reverse crunch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3
Crunches,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3
Dead bug reach,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3
Crunch - Hands Overhead,abs,body weight,Beginner,1,1,Gain Muscle,waist,duration,5
V-up,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5
Stomach Vacuum,abs,body weight,Beginner,1,1,Gain Muscle,waist,duration,3
Russian twist,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
Flat Bench Lying Leg Raise,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
Knees tucked crunch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
Butt-Ups,abs,body weight,Beginner,1,1,Gain Muscle,waist,duration,5
Feet-elevated oblique crunch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5
Bent-knee reverse crunch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
Alternating heel-touch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
Suspended Reverse Crunch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3
Lying bench reverse crunch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
Sit-up,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3
Side Bridge,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
Lying oblique crunch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5
Janda Sit-Up,abs,body weight,Beginner,1,1,Gain Muscle,waist,duration,4
Leg Pull-In,abs,body weight,Beginner,1,1,Gain Muscle,waist,duration,4
Side Jackknife,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3
Scissor Kick,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
Toe Touchers,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3
Lower Back Curl,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
Exercise ball torso rotation,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
Seated Overhead Stretch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5
Overhead Stretch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5
Seated Scissor Kick,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
Partner resistance standing twist,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5
Cross Crunch,abs,body weight,Beginner,1,1,Gain Muscle,waist,duration,3
Full Moon,abs,body weight,Beginner,1,1,Gain Muscle,waist,duration,3
Hanging knee raise with manual resistance,abs,body weight,Beginner,1,1,Gain Muscle,waist,duration,5
Straight-Legged Hip Raise,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
Wall mountain climber,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5
Skin The Cat To Push-Up,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5
Partner lying leg raise with lateral throw down,abs,body weight,Beginner,1,1,Gain Muscle,waist,duration,4
Hanging leg raise with throw down,abs,body weight,Beginner,1,1,Gain Muscle,waist,duration,3
Partner sit-up with high-five,abs,body weight,Beginner,1,1,Gain Muscle,waist,duration,4
Exercise ball knee roll-in,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5
Partner lying leg raise with throw down,abs,body weight,Beginner,1,1,Gain Muscle,waist,duration,4
Crab toe-touch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
Side kick-through,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5
Partner target sit-up,abs,body weight,Beginner,1,1,Gain Muscle,waist,duration,5
Suspended Crunch,abs,body weight,Beginner,1,1,Gain Muscle,waist,duration,3
Jump Lunge,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3
Side plank hip dip,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3
Elbow plank jack,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3
Exercise ball V-up,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5
Standing torso twist stretch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
Slalom jumps,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5
Bear crawl,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5
Crab single-arm reach,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
Side lunge cross-body heel-touch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3
Alligator Crawl,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3
Lying cross-over lower back stretch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5
Half bird dog,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5
Shoulder tap,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3
Double crunch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
Flutter kick,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5
Sprawl,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5
Spider plank jack,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
Pillar-To-Plank,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3
Alternating High Knee Raise,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
Sumo Squat Pulse,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3
Line-Drill Foot Work,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3
Plank Fire Hydrants,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
Banded jumping jack,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
Shin hug,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3
FYR Bear Crawl Fire Feet,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3
Bear crawl up-down,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3
FYR Crab Kick,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3
Bear crawl hold,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
Traveling bear crawl,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5
Single-leg V-up,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3
FYR Bear Crawl Shoulder Tap,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
Alternating single-leg sprawl,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
Wide mountain climber,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5
Plank leg raise,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3
Glute bridge step-out,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5
Knee up-down,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
FYR Sprawl,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
Reach crunch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
FYR Push-Up Plank Hold,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
FYR Hollow-Body Rock,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5
V-up plus knee-to-chest combo,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
Side plank lateral raise,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5
Superhero burpee,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
Hollow-body abduction,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
FYR Hollow Hold,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3
Tip-toe crunch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3
Knee-to-nose pulse,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5
Plank walk-out,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3
FYR V-Up,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3
Long sit-up,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
FYR Breakdancer,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3
Seated leg lift,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5
Gorilla burpee,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3
Knee-in to V-out,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
Bear crawl push-up,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
FYR Front Step,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5
Plank reach,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3
Eiffel Tower leg raise,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4
Straight-arm plank,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3
